,id,title,genres
0,ts20945,The Three Stooges,comedy
0,ts20945,The Three Stooges,family
0,ts20945,The Three Stooges,animation
0,ts20945,The Three Stooges,action
0,ts20945,The Three Stooges,fantasy
0,ts20945,The Three Stooges,horror
1,tm19248,The General,action
1,tm19248,The General,drama
1,tm19248,The General,war
1,tm19248,The General,western
1,tm19248,The General,comedy
1,tm19248,The General,european
2,tm82253,The Best Years of Our Lives,romance
2,tm82253,The Best Years of Our Lives,war
2,tm82253,The Best Years of Our Lives,drama
3,tm83884,His Girl Friday,comedy
3,tm83884,His Girl Friday,drama
3,tm83884,His Girl Friday,romance
4,tm56584,In a Lonely Place,thriller
4,tm56584,In a Lonely Place,drama
4,tm56584,In a Lonely Place,romance
5,tm160494,Stagecoach,western
5,tm160494,Stagecoach,drama
6,tm87233,It's a Wonderful Life,drama
6,tm87233,It's a Wonderful Life,family
6,tm87233,It's a Wonderful Life,fantasy
6,tm87233,It's a Wonderful Life,romance
6,tm87233,It's a Wonderful Life,comedy
7,tm19424,Detour,thriller
7,tm19424,Detour,drama
7,tm19424,Detour,crime
8,tm116781,My Man Godfrey,comedy
8,tm116781,My Man Godfrey,romance
8,tm116781,My Man Godfrey,drama
9,tm112005,Marihuana,crime
9,tm112005,Marihuana,drama
10,tm22806,Intolerance: Love's Struggle Throughout the Ages,history
10,tm22806,Intolerance: Love's Struggle Throughout the Ages,drama
11,tm88001,The Stranger,thriller
11,tm88001,The Stranger,crime
11,tm88001,The Stranger,drama
12,tm141715,The Phantom of the Opera,horror
13,tm112415,Tell Your Children,drama
13,tm112415,Tell Your Children,crime
14,tm2838,The Most Dangerous Game,thriller
14,tm2838,The Most Dangerous Game,horror
14,tm2838,The Most Dangerous Game,action
15,tm155610,Wuthering Heights,drama
15,tm155610,Wuthering Heights,romance
16,tm3781,The Woman in the Window,drama
16,tm3781,The Woman in the Window,thriller
16,tm3781,The Woman in the Window,crime
17,tm3541,"Steamboat Bill, Jr.",drama
17,tm3541,"Steamboat Bill, Jr.",romance
17,tm3541,"Steamboat Bill, Jr.",family
17,tm3541,"Steamboat Bill, Jr.",action
17,tm3541,"Steamboat Bill, Jr.",comedy
18,tm82560,The Little Foxes,romance
18,tm82560,The Little Foxes,drama
19,tm64852,Stella Dallas,drama
19,tm64852,Stella Dallas,romance
20,tm120863,Dodsworth,romance
20,tm120863,Dodsworth,drama
21,tm66903,Sands of Iwo Jima,drama
21,tm66903,Sands of Iwo Jima,war
21,tm66903,Sands of Iwo Jima,action
21,tm66903,Sands of Iwo Jima,romance
22,tm74259,The Pride of the Yankees,drama
22,tm74259,The Pride of the Yankees,romance
22,tm74259,The Pride of the Yankees,sport
23,tm112424,Things to Come,scifi
23,tm112424,Things to Come,drama
23,tm112424,Things to Come,war
24,tm58979,Cyrano de Bergerac,drama
24,tm58979,Cyrano de Bergerac,romance
25,tm18385,Scarlet Street,thriller
25,tm18385,Scarlet Street,drama
26,tm162994,Made for Each Other,comedy
26,tm162994,Made for Each Other,drama
26,tm162994,Made for Each Other,romance
27,tm2721,The Thief of Bagdad,romance
27,tm2721,The Thief of Bagdad,family
27,tm2721,The Thief of Bagdad,fantasy
28,tm59314,D.O.A.,crime
28,tm59314,D.O.A.,comedy
28,tm59314,D.O.A.,thriller
28,tm59314,D.O.A.,drama
29,tm74188,Jungle Book,fantasy
29,tm74188,Jungle Book,family
29,tm74188,Jungle Book,action
30,tm159958,Love Affair,romance
30,tm159958,Love Affair,drama
30,tm159958,Love Affair,comedy
31,tm88469,The Bishop's Wife,fantasy
31,tm88469,The Bishop's Wife,comedy
31,tm88469,The Bishop's Wife,drama
31,tm88469,The Bishop's Wife,romance
